Year,Municipality,Godine,UNIT_MEASURE,Spol,Value
2013,Bosanski Petrovac,0-4,Broj,Oba spola,249
2013,Bosanski Petrovac,0-4,Broj,Muškarci,126
2013,Bosanski Petrovac,0-4,Broj,Žene,123
2013,Bosansko Grahovo,0-4,Broj,Oba spola,69
2013,Bosansko Grahovo,0-4,Broj,Muškarci,39
2013,Bosansko Grahovo,0-4,Broj,Žene,30
2013,Bratunac,0-4,Broj,Oba spola,948
2013,Bratunac,0-4,Broj,Muškarci,509
2013,Bratunac,0-4,Broj,Žene,439
2013,Brčko,0-4,Broj,Oba spola,4165
2013,Brčko,0-4,Broj,Muškarci,2178
2013,Brčko,0-4,Broj,Žene,1987
2013,Breza,0-4,Broj,Oba spola,698
2013,Breza,0-4,Broj,Muškarci,348
2013,Breza,0-4,Broj,Žene,350
2013,Brod,0-4,Broj,Oba spola,771
2013,Brod,0-4,Broj,Muškarci,402
2013,Brod,0-4,Broj,Žene,369
2013,Bugojno,0-4,Broj,Oba spola,1484
2013,Bugojno,0-4,Broj,Muškarci,786
2013,Bugojno,0-4,Broj,Žene,698
2013,Busovača,0-4,Broj,Oba spola,961
2013,Busovača,0-4,Broj,Muškarci,494
2013,Busovača,0-4,Broj,Žene,467
2013,Bužim,0-4,Broj,Oba spola,1405
2013,Bužim,0-4,Broj,Muškarci,732
2013,Bužim,0-4,Broj,Žene,673
2013,Cazin,0-4,Broj,Oba spola,3940
2013,Cazin,0-4,Broj,Muškarci,2050
2013,Cazin,0-4,Broj,Žene,1890
2013,Sarajevo - Centar,0-4,Broj,Oba spola,2588
2013,Sarajevo - Centar,0-4,Broj,Muškarci,1308
2013,Sarajevo - Centar,0-4,Broj,Žene,1280
2013,Čajniče,0-4,Broj,Oba spola,185
2013,Čajniče,0-4,Broj,Muškarci,85
2013,Čajniče,0-4,Broj,Žene,100
2013,Čapljina,0-4,Broj,Oba spola,1233
2013,Čapljina,0-4,Broj,Muškarci,628
2013,Čapljina,0-4,Broj,Žene,605
2013,Čelić,0-4,Broj,Oba spola,475
2013,Čelić,0-4,Broj,Muškarci,229
2013,Čelić,0-4,Broj,Žene,246
2013,Čelinac,0-4,Broj,Oba spola,769
2013,Čelinac,0-4,Broj,Muškarci,399
2013,Čelinac,0-4,Broj,Žene,370
2013,Čitluk,0-4,Broj,Oba spola,1002
2013,Čitluk,0-4,Broj,Muškarci,480
2013,Čitluk,0-4,Broj,Žene,522
2013,Derventa,0-4,Broj,Oba spola,1170
2013,Derventa,0-4,Broj,Muškarci,580
2013,Derventa,0-4,Broj,Žene,590
2013,Doboj,0-4,Broj,Oba spola,3330
2013,Doboj,0-4,Broj,Muškarci,1695
2013,Doboj,0-4,Broj,Žene,1635
2013,Doboj-Istok,0-4,Broj,Oba spola,541
2013,Doboj-Istok,0-4,Broj,Muškarci,292
2013,Doboj-Istok,0-4,Broj,Žene,249
2013,Doboj-Jug,0-4,Broj,Oba spola,235
2013,Doboj-Jug,0-4,Broj,Muškarci,120
2013,Doboj-Jug,0-4,Broj,Žene,115
2013,Dobretići,0-4,Broj,Oba spola,30
2013,Dobretići,0-4,Broj,Muškarci,18
2013,Dobretići,0-4,Broj,Žene,12
2013,Domaljevac-Šamac,0-4,Broj,Oba spola,163
2013,Domaljevac-Šamac,0-4,Broj,Muškarci,89
2013,Domaljevac-Šamac,0-4,Broj,Žene,74
2013,Donji Vakuf,0-4,Broj,Oba spola,680
2013,Donji Vakuf,0-4,Broj,Muškarci,338
2013,Donji Vakuf,0-4,Broj,Žene,342
2013,Donji Žabar,0-4,Broj,Oba spola,145
2013,Donji Žabar,0-4,Broj,Muškarci,70
2013,Donji Žabar,0-4,Broj,Žene,75
2013,Drvar,0-4,Broj,Oba spola,210
2013,Drvar,0-4,Broj,Muškarci,106
2013,Drvar,0-4,Broj,Žene,104
2013,Foča - FBiH,0-4,Broj,Oba spola,85
2013,Foča - FBiH,0-4,Broj,Muškarci,50
2013,Foča - FBiH,0-4,Broj,Žene,35
2013,Foča - RS,0-4,Broj,Oba spola,644
2013,Foča - RS,0-4,Broj,Muškarci,367
2013,Foča - RS,0-4,Broj,Žene,277
2013,Fojnica,0-4,Broj,Oba spola,557
2013,Fojnica,0-4,Broj,Muškarci,294
2013,Fojnica,0-4,Broj,Žene,263
2013,Gacko,0-4,Broj,Oba spola,419
2013,Gacko,0-4,Broj,Muškarci,206
2013,Gacko,0-4,Broj,Žene,213
2013,Glamoč,0-4,Broj,Oba spola,145
2013,Glamoč,0-4,Broj,Muškarci,77
2013,Glamoč,0-4,Broj,Žene,68
2013,Goražde,0-4,Broj,Oba spola,978
2013,Goražde,0-4,Broj,Muškarci,513
2013,Goražde,0-4,Broj,Žene,465
2013,Gornji Vakuf-Uskoplje,0-4,Broj,Oba spola,1072
2013,Gornji Vakuf-Uskoplje,0-4,Broj,Muškarci,559
2013,Gornji Vakuf-Uskoplje,0-4,Broj,Žene,513
2013,Gračanica,0-4,Broj,Oba spola,2600
2013,Gračanica,0-4,Broj,Muškarci,1276
2013,Gračanica,0-4,Broj,Žene,1324
