Year,UNIT_MEASURE,Sex,Age,Value
1971,Number,Male,112,0
1971,Number,Male,113,0
1971,Number,Male,114,0
1971,Number,Male,115,0
1971,Number,Male,116,0
1971,Number,Male,117,0
1971,Number,Male,118,0
1971,Number,Male,119,0
1971,Number,Male,120,0
1971,Number,Male,Unknown,7006
1971,Number,Male,Total,1834600
1981,Number,Male,0,36601
1981,Number,Male,1,35731
1981,Number,Male,2,34457
1981,Number,Male,3,35075
1981,Number,Male,4,36166
1981,Number,Male,5,36782
1981,Number,Male,6,36370
1981,Number,Male,7,36359
1981,Number,Male,8,37880
1981,Number,Male,9,38334
1981,Number,Male,10,36650
1981,Number,Male,11,38700
1981,Number,Male,12,39445
1981,Number,Male,13,41035
1981,Number,Male,14,42892
1981,Number,Male,15,43763
1981,Number,Male,16,43345
1981,Number,Male,17,44354
1981,Number,Male,18,44226
1981,Number,Male,19,45087
1981,Number,Male,20,45362
1981,Number,Male,21,42076
1981,Number,Male,22,42161
1981,Number,Male,23,38241
1981,Number,Male,24,37745
1981,Number,Male,25,36794
1981,Number,Male,26,38345
1981,Number,Male,27,33791
1981,Number,Male,28,35120
1981,Number,Male,29,26356
1981,Number,Male,30,28535
1981,Number,Male,31,27225
1981,Number,Male,32,23897
1981,Number,Male,33,22296
1981,Number,Male,34,23753
1981,Number,Male,35,17364
1981,Number,Male,36,16892
1981,Number,Male,37,17210
1981,Number,Male,38,18470
1981,Number,Male,39,21455
1981,Number,Male,40,23725
1981,Number,Male,41,24614
1981,Number,Male,42,23891
1981,Number,Male,43,25278
1981,Number,Male,44,25675
1981,Number,Male,45,25979
1981,Number,Male,46,25687
1981,Number,Male,47,24732
1981,Number,Male,48,23989
1981,Number,Male,49,22940
1981,Number,Male,50,24081
1981,Number,Male,51,23115
1981,Number,Male,52,23325
1981,Number,Male,53,19890
1981,Number,Male,54,16828
1981,Number,Male,55,14997
1981,Number,Male,56,13348
1981,Number,Male,57,12332
1981,Number,Male,58,11517
1981,Number,Male,59,10288
1981,Number,Male,60,10841
1981,Number,Male,61,10181
1981,Number,Male,62,5076
1981,Number,Male,63,4585
1981,Number,Male,64,4351
1981,Number,Male,65,5558
1981,Number,Male,66,8522
1981,Number,Male,67,8138
1981,Number,Male,68,8302
1981,Number,Male,69,7310
1981,Number,Male,70,8162
1981,Number,Male,71,7654
1981,Number,Male,72,6266
1981,Number,Male,73,6610
1981,Number,Male,74,6008
1981,Number,Male,75,5281
1981,Number,Male,76,4722
1981,Number,Male,77,3667
1981,Number,Male,78,3343
1981,Number,Male,79,2386
1981,Number,Male,80,4385
1981,Number,Male,81,1862
1981,Number,Male,82,1290
1981,Number,Male,83,1045
1981,Number,Male,84,864
1981,Number,Male,85,731
1981,Number,Male,86,518
1981,Number,Male,87,429
1981,Number,Male,88,504
1981,Number,Male,89,253
1981,Number,Male,90,255
1981,Number,Male,91,140
1981,Number,Male,92,175
1981,Number,Male,93,128
1981,Number,Male,94,112
1981,Number,Male,95,99
1981,Number,Male,96,74
1981,Number,Male,97,72
1981,Number,Male,98,53
1981,Number,Male,99,22
1981,Number,Male,100,25
1981,Number,Male,101,0
1981,Number,Male,102,0
1981,Number,Male,103,0
1981,Number,Male,104,0
1981,Number,Male,105,0
1981,Number,Male,106,0
1981,Number,Male,107,0
1981,Number,Male,108,0
1981,Number,Male,109,0
1981,Number,Male,110,0
1981,Number,Male,111,0
1981,Number,Male,112,0
1981,Number,Male,113,0
1981,Number,Male,114,0
1981,Number,Male,115,0
1981,Number,Male,116,0
1981,Number,Male,117,0
1981,Number,Male,118,0
1981,Number,Male,119,0
1981,Number,Male,120,0
1981,Number,Male,Unknown,2923
1981,Number,Male,Total,1935493
1991,Number,Male,0,32274
1991,Number,Male,1,32468
1991,Number,Male,2,32868
1991,Number,Male,3,34113
1991,Number,Male,4,33657
1991,Number,Male,5,34040
1991,Number,Male,6,34522
1991,Number,Male,7,34638
1991,Number,Male,8,34952
1991,Number,Male,9,34433
1991,Number,Male,10,34268
1991,Number,Male,11,34324
1991,Number,Male,12,33652
1991,Number,Male,13,34356
1991,Number,Male,14,34725
1991,Number,Male,15,35051
1991,Number,Male,16,34644
1991,Number,Male,17,34509
1991,Number,Male,18,36086
1991,Number,Male,19,36609
1991,Number,Male,20,34136
1991,Number,Male,21,35254
1991,Number,Male,22,34945
1991,Number,Male,23,35919
1991,Number,Male,24,36710
1991,Number,Male,25,36796
1991,Number,Male,26,35497
1991,Number,Male,27,35752
1991,Number,Male,28,35888
1991,Number,Male,29,36817
1991,Number,Male,30,36453
1991,Number,Male,31,35099
1991,Number,Male,32,36161
1991,Number,Male,33,33695
1991,Number,Male,34,33544
1991,Number,Male,35,33207
1991,Number,Male,36,35260
1991,Number,Male,37,31059
1991,Number,Male,38,33157
1991,Number,Male,39,25492
1991,Number,Male,40,27188
1991,Number,Male,41,26357
1991,Number,Male,42,22818
1991,Number,Male,43,21125
1991,Number,Male,44,22696
1991,Number,Male,45,16415
