Year,UNIT_MEASURE,Godine,Spol,Municipality,Value
2013,Broj,Total,Žene,Kiseljak,10437
2013,Broj,Total,Žene,Kladanj,6240
2013,Broj,Total,Žene,Ključ,8379
2013,Broj,Total,Žene,Kneževo,4901
2013,Broj,Total,Žene,Konjic,12788
2013,Broj,Total,Žene,Kostajnica,3010
2013,Broj,Total,Žene,Kotor Varoš,9892
2013,Broj,Total,Žene,Kozarska Dubica,11008
2013,Broj,Total,Žene,Kreševo,2676
2013,Broj,Total,Žene,Krupa Na Uni,735
2013,Broj,Total,Žene,Kupres - FBIH,2516
2013,Broj,Total,Žene,Kupres - RS,140
2013,Broj,Total,Žene,Laktaši,17646
2013,Broj,Total,Žene,Livno,17109
2013,Broj,Total,Žene,Lopare,7608
2013,Broj,Total,Žene,Lukavac,22734
2013,Broj,Total,Žene,Ljubinje,1786
2013,Broj,Total,Žene,Ljubuški,14162
2013,Broj,Total,Žene,Maglaj,11716
2013,Broj,Total,Žene,Milići,5643
2013,Broj,Total,Žene,Modriča,13159
2013,Broj,Total,Žene,Mostar,54587
2013,Broj,Total,Žene,Mrkonjić Grad,8575
2013,Broj,Total,Žene,Neum,2309
2013,Broj,Total,Žene,Nevesinje,6499
2013,Broj,Total,Žene,Novi Grad,13521
2013,Broj,Total,Žene,Sarajevo - Novi Grad,62818
2013,Broj,Total,Žene,Novi Travnik,11970
2013,Broj,Total,Žene,Novo Goražde,1499
2013,Broj,Total,Žene,Sarajevo - Novo Sarajevo,35234
2013,Broj,Total,Žene,Odžak,9448
2013,Broj,Total,Žene,Olovo,5091
2013,Broj,Total,Žene,Orašje,9802
2013,Broj,Total,Žene,Osmaci,2951
2013,Broj,Total,Žene,Oštra Luka,1346
2013,Broj,Total,Žene,Pale - FBIH,448
2013,Broj,Total,Žene,Pale - RS,10871
2013,Broj,Total,Žene,Pelagićevo,2611
2013,Broj,Total,Žene,Petrovac,189
2013,Broj,Total,Žene,Petrovo,3350
2013,Broj,Total,Žene,Posušje,10190
2013,Broj,Total,Žene,Prijedor,45534
2013,Broj,Total,Žene,Prnjavor,18384
2013,Broj,Total,Žene,Prozor,7070
2013,Broj,Total,Žene,Ravno,1562
2013,Broj,Total,Žene,Ribnik,3039
2013,Broj,Total,Žene,Rogatica,5453
2013,Broj,Total,Žene,Rudo,3913
2013,Broj,Total,Žene,Sanski Most,20649
2013,Broj,Total,Žene,Sapna,5439
2013,Broj,Total,Žene,Sokolac,6102
2013,Broj,Total,Žene,Srbac,8964
2013,Broj,Total,Žene,Srebrenica,6807
2013,Broj,Total,Žene,Srebrenik,20330
2013,Broj,Total,Žene,Sarajevo - Stari Grad,19494
2013,Broj,Total,Žene,Stolac,7176
2013,Broj,Total,Žene,Šamac,8888
2013,Broj,Total,Žene,Šekovići,3401
2013,Broj,Total,Žene,Šipovo,5072
2013,Broj,Total,Žene,Široki Brijeg,14548
2013,Broj,Total,Žene,Teočak,3657
2013,Broj,Total,Žene,Teslić,19857
2013,Broj,Total,Žene,Tešanj,21687
2013,Broj,Total,Žene,Tomislavgrad,15537
2013,Broj,Total,Žene,Travnik,26908
2013,Broj,Total,Žene,Trebinje,14947
2013,Broj,Total,Žene,Trnovo - FBIH,767
2013,Broj,Total,Žene,Trnovo - RS,1061
2013,Broj,Total,Žene,Tuzla,58234
2013,Broj,Total,Žene,Ugljevik,7773
2013,Broj,Total,Žene,Usora,3337
2013,Broj,Total,Žene,Vareš,4519
2013,Broj,Total,Žene,Velika Kladuša,20530
2013,Broj,Total,Žene,Visoko,20233
2013,Broj,Total,Žene,Višegrad,5562
2013,Broj,Total,Žene,Vitez,13069
2013,Broj,Total,Žene,Vlasenica,5829
2013,Broj,Total,Žene,Sarajevo - Vogošća,13737
2013,Broj,Total,Žene,Vukosavlje,2327
2013,Broj,Total,Žene,Zavidovići,18105
2013,Broj,Total,Žene,Zenica,56003
2013,Broj,Total,Žene,Zvornik,29586
2013,Broj,Total,Žene,Žepče,14884
2013,Broj,Total,Žene,Živinice,29051
2013,Broj,0-4,Žene,Banja Luka,4712
2013,Broj,0-4,Žene,Banovići,592
2013,Broj,0-4,Žene,Berkovići,48
2013,Broj,0-4,Žene,Bihać,1291
2013,Broj,0-4,Žene,Bijeljina,2443
2013,Broj,0-4,Žene,Bileća,232
2013,Broj,0-4,Žene,Bosanska Krupa,688
2013,Broj,0-4,Žene,Bosanski Petrovac,123
2013,Broj,0-4,Žene,Bosansko Grahovo,30
2013,Broj,0-4,Žene,Bratunac,439
2013,Broj,0-4,Žene,Brčko,1987
2013,Broj,0-4,Žene,Breza,350
2013,Broj,0-4,Žene,Brod,369
2013,Broj,0-4,Žene,Bugojno,698
2013,Broj,0-4,Žene,Busovača,467
2013,Broj,0-4,Žene,Bužim,673
2013,Broj,0-4,Žene,Cazin,1890
2013,Broj,0-4,Žene,Sarajevo - Centar,1280
2013,Broj,0-4,Žene,Čajniče,100
2013,Broj,0-4,Žene,Čapljina,605
2013,Broj,0-4,Žene,Čelić,246
2013,Broj,0-4,Žene,Čelinac,370
2013,Broj,0-4,Žene,Čitluk,522
2013,Broj,0-4,Žene,Derventa,590
2013,Broj,0-4,Žene,Doboj,1635
2013,Broj,0-4,Žene,Doboj-Istok,249
2013,Broj,0-4,Žene,Doboj-Jug,115
2013,Broj,0-4,Žene,Dobretići,12
2013,Broj,0-4,Žene,Domaljevac-Šamac,74
2013,Broj,0-4,Žene,Donji Vakuf,342
2013,Broj,0-4,Žene,Donji Žabar,75
2013,Broj,0-4,Žene,Drvar,104
