Year,UNIT_MEASURE,Пол,Старосна доб,Value
2040,% од укупно,Оба пола,25,0.84
2040,% од укупно,Оба пола,26,0.84
2040,% од укупно,Оба пола,27,0.82
2040,% од укупно,Оба пола,28,0.92
2040,% од укупно,Оба пола,29,0.89
2040,% од укупно,Оба пола,30,0.91
2040,% од укупно,Оба пола,31,0.93
2040,% од укупно,Оба пола,32,0.92
2040,% од укупно,Оба пола,33,0.88
2040,% од укупно,Оба пола,34,0.87
2040,% од укупно,Оба пола,35,0.88
2040,% од укупно,Оба пола,36,0.87
2040,% од укупно,Оба пола,37,0.89
2040,% од укупно,Оба пола,38,0.89
2040,% од укупно,Оба пола,39,0.93
2040,% од укупно,Оба пола,40,0.96
2040,% од укупно,Оба пола,41,0.98
2040,% од укупно,Оба пола,42,1.09
2040,% од укупно,Оба пола,43,1.22
2040,% од укупно,Оба пола,44,1.3
2040,% од укупно,Оба пола,45,1.34
2040,% од укупно,Оба пола,46,1.17
2040,% од укупно,Оба пола,47,1.02
