Year,UNIT_MEASURE,Године,Пол,Municipality,Value
2013,Број,Total,Жене,Velika Kladuša,20530
2013,Број,Total,Жене,Visoko,20233
2013,Број,Total,Жене,Višegrad,5562
2013,Број,Total,Жене,Vitez,13069
2013,Број,Total,Жене,Vlasenica,5829
2013,Број,Total,Жене,Sarajevo - Vogošća,13737
2013,Број,Total,Жене,Vukosavlje,2327
2013,Број,Total,Жене,Zavidovići,18105
2013,Број,Total,Жене,Zenica,56003
2013,Број,Total,Жене,Zvornik,29586
2013,Број,Total,Жене,Žepče,14884
2013,Број,Total,Жене,Živinice,29051
2013,Број,0-4,Жене,Banja Luka,4712
2013,Број,0-4,Жене,Banovići,592
2013,Број,0-4,Жене,Berkovići,48
2013,Број,0-4,Жене,Bihać,1291
2013,Број,0-4,Жене,Bijeljina,2443
2013,Број,0-4,Жене,Bileća,232
2013,Број,0-4,Жене,Bosanska Krupa,688
2013,Број,0-4,Жене,Bosanski Petrovac,123
2013,Број,0-4,Жене,Bosansko Grahovo,30
2013,Број,0-4,Жене,Bratunac,439
2013,Број,0-4,Жене,Brčko,1987
2013,Број,0-4,Жене,Breza,350
2013,Број,0-4,Жене,Brod,369
2013,Број,0-4,Жене,Bugojno,698
2013,Број,0-4,Жене,Busovača,467
2013,Број,0-4,Жене,Bužim,673
2013,Број,0-4,Жене,Cazin,1890
2013,Број,0-4,Жене,Sarajevo - Centar,1280
2013,Број,0-4,Жене,Čajniče,100
2013,Број,0-4,Жене,Čapljina,605
2013,Број,0-4,Жене,Čelić,246
2013,Број,0-4,Жене,Čelinac,370
2013,Број,0-4,Жене,Čitluk,522
2013,Број,0-4,Жене,Derventa,590
2013,Број,0-4,Жене,Doboj,1635
2013,Број,0-4,Жене,Doboj-Istok,249
2013,Број,0-4,Жене,Doboj-Jug,115
2013,Број,0-4,Жене,Dobretići,12
2013,Број,0-4,Жене,Domaljevac-Šamac,74
2013,Број,0-4,Жене,Donji Vakuf,342
2013,Број,0-4,Жене,Donji Žabar,75
2013,Број,0-4,Жене,Drvar,104
2013,Број,0-4,Жене,Foča - FBIH,35
2013,Број,0-4,Жене,Foča - RS,277
2013,Број,0-4,Жене,Fojnica,263
2013,Број,0-4,Жене,Gacko,213
2013,Број,0-4,Жене,Glamoč,68
2013,Број,0-4,Жене,Goražde,465
2013,Број,0-4,Жене,Gornji Vakuf-Uskoplje,513
