Year,UNIT_MEASURE,SPOL,AGE,Entitet,Value
2013,Broj,M,Unknown,Republika Srpska,0
2013,Broj,M,Total,Republika Srpska,603027
2013,Broj,Ž,0,Republika Srpska,5099
2013,Broj,Ž,1,Republika Srpska,5337
2013,Broj,Ž,2,Republika Srpska,5226
2013,Broj,Ž,3,Republika Srpska,5607
2013,Broj,Ž,4,Republika Srpska,5540
2013,Broj,Ž,5,Republika Srpska,5534
2013,Broj,Ž,6,Republika Srpska,5482
2013,Broj,Ž,7,Republika Srpska,5489
2013,Broj,Ž,8,Republika Srpska,5536
2013,Broj,Ž,9,Republika Srpska,5562
2013,Broj,Ž,10,Republika Srpska,5638
2013,Broj,Ž,11,Republika Srpska,5763
2013,Broj,Ž,12,Republika Srpska,6147
2013,Broj,Ž,13,Republika Srpska,6233
2013,Broj,Ž,14,Republika Srpska,6488
2013,Broj,Ž,15,Republika Srpska,6722
2013,Broj,Ž,16,Republika Srpska,7656
2013,Broj,Ž,17,Republika Srpska,7383
2013,Broj,Ž,18,Republika Srpska,7510
2013,Broj,Ž,19,Republika Srpska,7384
2013,Broj,Ž,20,Republika Srpska,6098
2013,Broj,Ž,21,Republika Srpska,6676
2013,Broj,Ž,22,Republika Srpska,7314
2013,Broj,Ž,23,Republika Srpska,7287
2013,Broj,Ž,24,Republika Srpska,7591
2013,Broj,Ž,25,Republika Srpska,7844
2013,Broj,Ž,26,Republika Srpska,7792
2013,Broj,Ž,27,Republika Srpska,8060
2013,Broj,Ž,28,Republika Srpska,7978
2013,Broj,Ž,29,Republika Srpska,8491
2013,Broj,Ž,30,Republika Srpska,8326
2013,Broj,Ž,31,Republika Srpska,8485
2013,Broj,Ž,32,Republika Srpska,8359
2013,Broj,Ž,33,Republika Srpska,8417
2013,Broj,Ž,34,Republika Srpska,8320
2013,Broj,Ž,35,Republika Srpska,8237
2013,Broj,Ž,36,Republika Srpska,8384
2013,Broj,Ž,37,Republika Srpska,8593
2013,Broj,Ž,38,Republika Srpska,8220
2013,Broj,Ž,39,Republika Srpska,7930
2013,Broj,Ž,40,Republika Srpska,7893
2013,Broj,Ž,41,Republika Srpska,8040
2013,Broj,Ž,42,Republika Srpska,7718
2013,Broj,Ž,43,Republika Srpska,7419
2013,Broj,Ž,44,Republika Srpska,7746
2013,Broj,Ž,45,Republika Srpska,8069
2013,Broj,Ž,46,Republika Srpska,8528
2013,Broj,Ž,47,Republika Srpska,8680
2013,Broj,Ž,48,Republika Srpska,9018
2013,Broj,Ž,49,Republika Srpska,8894
2013,Broj,Ž,50,Republika Srpska,9134
2013,Broj,Ž,51,Republika Srpska,9705
2013,Broj,Ž,52,Republika Srpska,9645
2013,Broj,Ž,53,Republika Srpska,9699
2013,Broj,Ž,54,Republika Srpska,10298
2013,Broj,Ž,55,Republika Srpska,9649
2013,Broj,Ž,56,Republika Srpska,9400
2013,Broj,Ž,57,Republika Srpska,10000
2013,Broj,Ž,58,Republika Srpska,10315
2013,Broj,Ž,59,Republika Srpska,10163
2013,Broj,Ž,60,Republika Srpska,10402
2013,Broj,Ž,61,Republika Srpska,9843
2013,Broj,Ž,62,Republika Srpska,8812
2013,Broj,Ž,63,Republika Srpska,8961
2013,Broj,Ž,64,Republika Srpska,8800
2013,Broj,Ž,65,Republika Srpska,7797
2013,Broj,Ž,66,Republika Srpska,8202
2013,Broj,Ž,67,Republika Srpska,6508
2013,Broj,Ž,68,Republika Srpska,5441
2013,Broj,Ž,69,Republika Srpska,5440
2013,Broj,Ž,70,Republika Srpska,5654
2013,Broj,Ž,71,Republika Srpska,5822
2013,Broj,Ž,72,Republika Srpska,6755
2013,Broj,Ž,73,Republika Srpska,7148
2013,Broj,Ž,74,Republika Srpska,6744
2013,Broj,Ž,75,Republika Srpska,6617
2013,Broj,Ž,76,Republika Srpska,6219
2013,Broj,Ž,77,Republika Srpska,6079
2013,Broj,Ž,78,Republika Srpska,5329
2013,Broj,Ž,79,Republika Srpska,4982
2013,Broj,Ž,80,Republika Srpska,4181
2013,Broj,Ž,81,Republika Srpska,3767
2013,Broj,Ž,82,Republika Srpska,3096
2013,Broj,Ž,83,Republika Srpska,2945
2013,Broj,Ž,84,Republika Srpska,2257
2013,Broj,Ž,85+,Republika Srpska,7844
2013,Broj,Ž,Unknown,Republika Srpska,0
2013,Broj,Ž,Total,Republika Srpska,625396
2013,Broj,Oba spola,0,Brčko Distrikt BiH,839
2013,Broj,Oba spola,1,Brčko Distrikt BiH,832
2013,Broj,Oba spola,2,Brčko Distrikt BiH,855
2013,Broj,Oba spola,3,Brčko Distrikt BiH,791
2013,Broj,Oba spola,4,Brčko Distrikt BiH,848
2013,Broj,Oba spola,5,Brčko Distrikt BiH,851
