Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2021,2020,F,55-59,134214.44
2021,2020,F,60-64,131678.44
2021,2020,F,65-69,118764.45
2021,2020,F,70-74,92006.20
2021,2020,F,75-79,58447.65
2021,2020,F,80-84,51988.82
2021,2020,F,85-89,24210.74
2021,2020,F,90-94,6647.34
2021,2020,F,95-99,930.61
2021,2020,F,100-104,107.27
2021,2020,F,105-109,7.94
2021,2020,F,110-114,0.24
2021,2020,F,115-119,0.00
2021,2020,F,120+,0.00
2021,2025,F,0-4,64639.68
2021,2025,F,5-9,69210.38
2021,2025,F,10-14,75967.02
2021,2025,F,15-19,84198.17
2021,2025,F,20-24,79313.38
2021,2025,F,25-29,93721.04
2021,2025,F,30-34,98694.89
2021,2025,F,35-39,111838.43
2021,2025,F,40-44,118994.62
2021,2025,F,45-49,118892.86
2021,2025,F,50-54,118111.58
2021,2025,F,55-59,119911.28
2021,2025,F,60-64,131556.72
2021,2025,F,65-69,126557.37
2021,2025,F,70-74,109095.38
2021,2025,F,75-79,78732.03
2021,2025,F,80-84,43905.10
2021,2025,F,85-89,31502.82
2021,2025,F,90-94,10621.45
2021,2025,F,95-99,1815.08
2021,2025,F,100-104,139.21
2021,2025,F,105-109,7.60
2021,2025,F,110-114,0.28
2021,2025,F,115-119,0.00
2021,2025,F,120+,0.00
2021,2030,F,0-4,56656.90
2021,2030,F,5-9,63262.24
2021,2030,F,10-14,68514.20
2021,2030,F,15-19,74026.59
2021,2030,F,20-24,76651.17
2021,2030,F,25-29,71223.84
2021,2030,F,30-34,87672.75
2021,2030,F,35-39,94702.45
2021,2030,F,40-44,108309.42
2021,2030,F,45-49,115912.08
2021,2030,F,50-54,116903.35
2021,2030,F,55-59,116561.35
2021,2030,F,60-64,117823.19
2021,2030,F,65-69,126699.92
2021,2030,F,70-74,116892.58
2021,2030,F,75-79,94368.42
2021,2030,F,80-84,60773.33
2021,2030,F,85-89,27657.69
2021,2030,F,90-94,14691.06
2021,2030,F,95-99,3189.11
2021,2030,F,100-104,316.29
2021,2030,F,105-109,12.07
2021,2030,F,110-114,0.29
2021,2030,F,115-119,0.01
2021,2030,F,120+,0.00
2021,2035,F,0-4,49620.86
2021,2035,F,5-9,55509.08
2021,2035,F,10-14,62603.47
2021,2035,F,15-19,66826.77
2021,2035,F,20-24,67347.66
2021,2035,F,25-29,68613.70
2021,2035,F,30-34,67008.10
2021,2035,F,35-39,84219.79
2021,2035,F,40-44,91922.98
2021,2035,F,45-49,105527.15
2021,2035,F,50-54,113883.61
2021,2035,F,55-59,115294.49
2021,2035,F,60-64,114617.60
2021,2035,F,65-69,113883.69
2021,2035,F,70-74,117640.19
2021,2035,F,75-79,102132.81
2021,2035,F,80-84,74182.46
2021,2035,F,85-89,39993.41
2021,2035,F,90-94,13567.30
2021,2035,F,95-99,4769.10
2021,2035,F,100-104,615.31
2021,2035,F,105-109,31.42
2021,2035,F,110-114,0.53
2021,2035,F,115-119,0.01
2021,2035,F,120+,0.00
2021,2040,F,0-4,44331.52
2021,2040,F,5-9,48663.86
2021,2040,F,10-14,54988.17
2021,2040,F,15-19,61019.07
2021,2040,F,20-24,60883.24
2021,2040,F,25-29,60365.69
2021,2040,F,30-34,64354.85
2021,2040,F,35-39,64698.91
2021,2040,F,40-44,81804.91
2021,2040,F,45-49,89733.88
2021,2040,F,50-54,103723.85
2021,2040,F,55-59,112270.32
2021,2040,F,60-64,113369.28
2021,2040,F,65-69,111033.28
2021,2040,F,70-74,106336.61
2021,2040,F,75-79,103732.03
2021,2040,F,80-84,81617.85
2021,2040,F,85-89,50270.69
2021,2040,F,90-94,20878.36
2021,2040,F,95-99,4691.70
2021,2040,F,100-104,1002.46
2021,2040,F,105-109,66.95
2021,2040,F,110-114,1.50
2021,2040,F,115-119,0.01
2021,2040,F,120+,0.00
2021,2045,F,0-4,40308.99
2021,2045,F,5-9,43495.85
2021,2045,F,10-14,48265.99
2021,2045,F,15-19,53648.19
2021,2045,F,20-24,55541.74
