Year,SEX,UNIT_MEASURE,AGE,Value
2065,_T,_%,75-79,8.54
2065,_T,_%,80-84,7.84
2065,_T,_%,85-89,5.89
2065,_T,_%,90-94,3.5
2065,_T,_%,95-99,1.48
2065,_T,_%,100-104,0.43
2065,_T,_%,105-109,0.06
2065,_T,_%,110-114,0
2065,_T,_%,115-119,0
2065,_T,_%,120+,0
2070,_T,_%,0-4,3.13
2070,_T,_%,5-9,3.39
2070,_T,_%,10-14,3.73
2070,_T,_%,15-19,4.01
2070,_T,_%,20-24,3.96
2070,_T,_%,25-29,3.81
2070,_T,_%,30-34,3.85
2070,_T,_%,35-39,4.06
2070,_T,_%,40-44,4.41
2070,_T,_%,45-49,4.83
2070,_T,_%,50-54,5.23
2070,_T,_%,55-59,5.7
2070,_T,_%,60-64,6.4
2070,_T,_%,65-69,6.62
2070,_T,_%,70-74,7.9
2070,_T,_%,75-79,8.07
2070,_T,_%,80-84,7.96
2070,_T,_%,85-89,6.51
2070,_T,_%,90-94,4.06
2070,_T,_%,95-99,1.8
2070,_T,_%,100-104,0.5
2070,_T,_%,105-109,0.08
2070,_T,_%,110-114,0
2070,_T,_%,115-119,0
2070,_T,_%,120+,0
2018,M,_%,0-4,2.21
2018,M,_%,5-9,2.52
2018,M,_%,10-14,2.6
2018,M,_%,15-19,2.8
2018,M,_%,20-24,3.57
2018,M,_%,25-29,3.31
2018,M,_%,30-34,3.68
2018,M,_%,35-39,3.67
2018,M,_%,40-44,3.59
2018,M,_%,45-49,3.45
2018,M,_%,50-54,3.63
2018,M,_%,55-59,3.71
2018,M,_%,60-64,3.38
2018,M,_%,65-69,2.7
2018,M,_%,70-74,1.7
2018,M,_%,75-79,1.28
2018,M,_%,80-84,0.86
2018,M,_%,85-89,0.33
2018,M,_%,90-94,0.07
2018,M,_%,95-99,0.01
2018,M,_%,100-104,0
2018,M,_%,105-109,0
2018,M,_%,110-114,0
2018,M,_%,115-119,0
2018,M,_%,120+,0
2020,M,_%,0-4,2.21
2020,M,_%,5-9,2.36
2020,M,_%,10-14,2.65
2020,M,_%,15-19,2.67
2020,M,_%,20-24,3.16
2020,M,_%,25-29,3.16
2020,M,_%,30-34,3.49
2020,M,_%,35-39,3.65
2020,M,_%,40-44,3.59
2020,M,_%,45-49,3.5
2020,M,_%,50-54,3.5
2020,M,_%,55-59,3.74
2020,M,_%,60-64,3.52
2020,M,_%,65-69,2.99
2020,M,_%,70-74,2.07
2020,M,_%,75-79,1.17
2020,M,_%,80-84,0.95
2020,M,_%,85-89,0.4
2020,M,_%,90-94,0.1
2020,M,_%,95-99,0.01
2020,M,_%,100-104,0
2020,M,_%,105-109,0
2020,M,_%,110-114,0
2020,M,_%,115-119,0
2020,M,_%,120+,0
2025,M,_%,0-4,2.1
2025,M,_%,5-9,2.26
2025,M,_%,10-14,2.44
2025,M,_%,15-19,2.69
2025,M,_%,20-24,2.47
2025,M,_%,25-29,2.8
2025,M,_%,30-34,2.92
2025,M,_%,35-39,3.31
2025,M,_%,40-44,3.53
2025,M,_%,45-49,3.54
2025,M,_%,50-54,3.51
2025,M,_%,55-59,3.53
2025,M,_%,60-64,3.76
2025,M,_%,65-69,3.45
2025,M,_%,70-74,2.76
2025,M,_%,75-79,1.73
2025,M,_%,80-84,0.85
2025,M,_%,85-89,0.55
2025,M,_%,90-94,0.17
2025,M,_%,95-99,0.03
2025,M,_%,100-104,0
2025,M,_%,105-109,0
2025,M,_%,110-114,0
2025,M,_%,115-119,0
2025,M,_%,120+,0
2030,M,_%,0-4,1.94
2030,M,_%,5-9,2.16
2030,M,_%,10-14,2.34
2030,M,_%,15-19,2.48
2030,M,_%,20-24,2.49
2030,M,_%,25-29,2.22
2030,M,_%,30-34,2.61
2030,M,_%,35-39,2.8
2030,M,_%,40-44,3.23
2030,M,_%,45-49,3.5
2030,M,_%,50-54,3.57
2030,M,_%,55-59,3.56
2030,M,_%,60-64,3.59
2030,M,_%,65-69,3.71
2030,M,_%,70-74,3.22
2030,M,_%,75-79,2.35
2030,M,_%,80-84,1.3
2030,M,_%,85-89,0.52
2030,M,_%,90-94,0.26
2030,M,_%,95-99,0.06
2030,M,_%,100-104,0.01
2030,M,_%,105-109,0
2030,M,_%,110-114,0
2030,M,_%,115-119,0
2030,M,_%,120+,0
2035,M,_%,0-4,1.81
2035,M,_%,5-9,2.01
2035,M,_%,10-14,2.25
2035,M,_%,15-19,2.4
2035,M,_%,20-24,2.31
2035,M,_%,25-29,2.25
2035,M,_%,30-34,2.11
2035,M,_%,35-39,2.54
2035,M,_%,40-44,2.77
2035,M,_%,45-49,3.23
2035,M,_%,50-54,3.54
2035,M,_%,55-59,3.65
2035,M,_%,60-64,3.65
2035,M,_%,65-69,3.59
2035,M,_%,70-74,3.52
2035,M,_%,75-79,2.81
2035,M,_%,80-84,1.83
2035,M,_%,85-89,0.85
2035,M,_%,90-94,0.26
2035,M,_%,95-99,0.09
2035,M,_%,100-104,0.01
2035,M,_%,105-109,0
2035,M,_%,110-114,0
2035,M,_%,115-119,0
2035,M,_%,120+,0
2040,M,_%,0-4,1.73
2040,M,_%,5-9,1.88
2040,M,_%,10-14,2.11
2040,M,_%,15-19,2.32
2040,M,_%,20-24,2.25
2040,M,_%,25-29,2.1
2040,M,_%,30-34,2.14
2040,M,_%,35-39,2.08
2040,M,_%,40-44,2.53
2040,M,_%,45-49,2.8
2040,M,_%,50-54,3.3
2040,M,_%,55-59,3.65
2040,M,_%,60-64,3.77
2040,M,_%,65-69,3.7
2040,M,_%,70-74,3.46
2040,M,_%,75-79,3.14
2040,M,_%,80-84,2.25
2040,M,_%,85-89,1.24
2040,M,_%,90-94,0.46
2040,M,_%,95-99,0.1
2040,M,_%,100-104,0.02
2040,M,_%,105-109,0
2040,M,_%,110-114,0
2040,M,_%,115-119,0
2040,M,_%,120+,0
2045,M,_%,0-4,1.7
2045,M,_%,5-9,1.82
2045,M,_%,10-14,2
2045,M,_%,15-19,2.19
2045,M,_%,20-24,2.19
2045,M,_%,25-29,2.06
2045,M,_%,30-34,2.01
2045,M,_%,35-39,2.11
2045,M,_%,40-44,2.11
2045,M,_%,45-49,2.58
2045,M,_%,50-54,2.89
2045,M,_%,55-59,3.43
2045,M,_%,60-64,3.81
2045,M,_%,65-69,3.85
2045,M,_%,70-74,3.62
2045,M,_%,75-79,3.15
2045,M,_%,80-84,2.58
2045,M,_%,85-89,1.58
2045,M,_%,90-94,0.7
2045,M,_%,95-99,0.19
2045,M,_%,100-104,0.03
2045,M,_%,105-109,0
2045,M,_%,110-114,0
2045,M,_%,115-119,0
2045,M,_%,120+,0
2050,M,_%,0-4,1.68
2050,M,_%,5-9,1.79
2050,M,_%,10-14,1.93
2050,M,_%,15-19,2.09
2050,M,_%,20-24,2.08
2050,M,_%,25-29,2.01
2050,M,_%,30-34,1.98
2050,M,_%,35-39,2
2050,M,_%,40-44,2.14
2050,M,_%,45-49,2.18
2050,M,_%,50-54,2.69
2050,M,_%,55-59,3.04
2050,M,_%,60-64,3.61
2050,M,_%,65-69,3.93
2050,M,_%,70-74,3.82
2050,M,_%,75-79,3.35
2050,M,_%,80-84,2.65
2050,M,_%,85-89,1.88
2050,M,_%,90-94,0.93
2050,M,_%,95-99,0.3
2050,M,_%,100-104,0.05
2050,M,_%,105-109,0
2050,M,_%,110-114,0
2050,M,_%,115-119,0
2050,M,_%,120+,0
2055,M,_%,0-4,1.66
2055,M,_%,5-9,1.78
2055,M,_%,10-14,1.92
2055,M,_%,15-19,2.04
2055,M,_%,20-24,2
2055,M,_%,25-29,1.93
2055,M,_%,30-34,1.95
2055,M,_%,35-39,1.99
2055,M,_%,40-44,2.05
2055,M,_%,45-49,2.23
2055,M,_%,50-54,2.3
2055,M,_%,55-59,2.86
2055,M,_%,60-64,3.24
2055,M,_%,65-69,3.77
2055,M,_%,70-74,3.94
2055,M,_%,75-79,3.59
2055,M,_%,80-84,2.89
2055,M,_%,85-89,1.99
2055,M,_%,90-94,1.15
2055,M,_%,95-99,0.42
2055,M,_%,100-104,0.09
2055,M,_%,105-109,0.01
2055,M,_%,110-114,0
2055,M,_%,115-119,0
2055,M,_%,120+,0
2060,M,_%,0-4,1.64
2060,M,_%,5-9,1.77
2060,M,_%,10-14,1.91
2060,M,_%,15-19,2.03
2060,M,_%,20-24,1.96
2060,M,_%,25-29,1.86
2060,M,_%,30-34,1.88
2060,M,_%,35-39,1.96
2060,M,_%,40-44,2.04
2060,M,_%,45-49,2.14
2060,M,_%,50-54,2.36
2060,M,_%,55-59,2.47
2060,M,_%,60-64,3.07
2060,M,_%,65-69,3.42
