Year,UNIT_MEASURE,Sex,Age,Administrative area,Value
2013,Number,Both sexes,36,Brčko District of BiH,1176
2013,Number,Both sexes,37,Brčko District of BiH,1239
2013,Number,Both sexes,38,Brčko District of BiH,1207
2013,Number,Both sexes,39,Brčko District of BiH,1279
2013,Number,Both sexes,40,Brčko District of BiH,1256
2013,Number,Both sexes,41,Brčko District of BiH,1277
2013,Number,Both sexes,42,Brčko District of BiH,1160
2013,Number,Both sexes,43,Brčko District of BiH,1204
2013,Number,Both sexes,44,Brčko District of BiH,1248
2013,Number,Both sexes,45,Brčko District of BiH,1288
2013,Number,Both sexes,46,Brčko District of BiH,1301
2013,Number,Both sexes,47,Brčko District of BiH,1313
2013,Number,Both sexes,48,Brčko District of BiH,1404
2013,Number,Both sexes,49,Brčko District of BiH,1267
2013,Number,Both sexes,50,Brčko District of BiH,1317
2013,Number,Both sexes,51,Brčko District of BiH,1325
2013,Number,Both sexes,52,Brčko District of BiH,1362
2013,Number,Both sexes,53,Brčko District of BiH,1311
2013,Number,Both sexes,54,Brčko District of BiH,1258
2013,Number,Both sexes,55,Brčko District of BiH,1199
2013,Number,Both sexes,56,Brčko District of BiH,1110
2013,Number,Both sexes,57,Brčko District of BiH,1150
2013,Number,Both sexes,58,Brčko District of BiH,1167
2013,Number,Both sexes,59,Brčko District of BiH,1149
2013,Number,Both sexes,60,Brčko District of BiH,1100
2013,Number,Both sexes,61,Brčko District of BiH,1073
2013,Number,Both sexes,62,Brčko District of BiH,983
2013,Number,Both sexes,63,Brčko District of BiH,1052
2013,Number,Both sexes,64,Brčko District of BiH,940
2013,Number,Both sexes,65,Brčko District of BiH,899
2013,Number,Both sexes,66,Brčko District of BiH,899
2013,Number,Both sexes,67,Brčko District of BiH,750
2013,Number,Both sexes,68,Brčko District of BiH,655
2013,Number,Both sexes,69,Brčko District of BiH,705
2013,Number,Both sexes,70,Brčko District of BiH,698
2013,Number,Both sexes,71,Brčko District of BiH,594
2013,Number,Both sexes,72,Brčko District of BiH,698
2013,Number,Both sexes,73,Brčko District of BiH,687
2013,Number,Both sexes,74,Brčko District of BiH,682
2013,Number,Both sexes,75,Brčko District of BiH,620
