Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,M,Total,Ugljevik,7937
2013,NUMBER,F,Total,Ugljevik,7773
2013,NUMBER,_T,Total,Usora,6603
2013,NUMBER,M,Total,Usora,3266
2013,NUMBER,F,Total,Usora,3337
2013,NUMBER,_T,Total,Vareš,8892
2013,NUMBER,M,Total,Vareš,4373
2013,NUMBER,F,Total,Vareš,4519
2013,NUMBER,_T,Total,Velika Kladuša,40419
2013,NUMBER,M,Total,Velika Kladuša,19889
2013,NUMBER,F,Total,Velika Kladuša,20530
2013,NUMBER,_T,Total,Visoko,39938
2013,NUMBER,M,Total,Visoko,19705
2013,NUMBER,F,Total,Visoko,20233
2013,NUMBER,_T,Total,Višegrad,10668
2013,NUMBER,M,Total,Višegrad,5106
2013,NUMBER,F,Total,Višegrad,5562
2013,NUMBER,_T,Total,Vitez,25836
2013,NUMBER,M,Total,Vitez,12767
2013,NUMBER,F,Total,Vitez,13069
2013,NUMBER,_T,Total,Vlasenica,11467
2013,NUMBER,M,Total,Vlasenica,5638
2013,NUMBER,F,Total,Vlasenica,5829
2013,NUMBER,_T,Total,Sarajevo - Vogošća,26343
2013,NUMBER,M,Total,Sarajevo - Vogošća,12606
2013,NUMBER,F,Total,Sarajevo - Vogošća,13737
2013,NUMBER,_T,Total,Vukosavlje,4667
2013,NUMBER,M,Total,Vukosavlje,2340
2013,NUMBER,F,Total,Vukosavlje,2327
2013,NUMBER,_T,Total,Zavidovići,35988
2013,NUMBER,M,Total,Zavidovići,17883
2013,NUMBER,F,Total,Zavidovići,18105
2013,NUMBER,_T,Total,Zenica,110663
2013,NUMBER,M,Total,Zenica,54660
2013,NUMBER,F,Total,Zenica,56003
2013,NUMBER,_T,Total,Zvornik,58856
2013,NUMBER,M,Total,Zvornik,29270
2013,NUMBER,F,Total,Zvornik,29586
2013,NUMBER,_T,Total,Žepče,30219
2013,NUMBER,M,Total,Žepče,15335
2013,NUMBER,F,Total,Žepče,14884
2013,NUMBER,_T,Total,Živinice,57765
2013,NUMBER,M,Total,Živinice,28714
2013,NUMBER,F,Total,Živinice,29051
