Year,UNIT_MEASURE,Municipality,Spol,Godine,Value
2013,Broj,Vitez,Muškarci,Total,12767
2013,Broj,Vitez,Žene,Total,13069
2013,Broj,Vlasenica,Oba spola,Total,11467
2013,Broj,Vlasenica,Muškarci,Total,5638
2013,Broj,Vlasenica,Žene,Total,5829
2013,Broj,Sarajevo - Vogošća,Oba spola,Total,26343
2013,Broj,Sarajevo - Vogošća,Muškarci,Total,12606
2013,Broj,Sarajevo - Vogošća,Žene,Total,13737
2013,Broj,Vukosavlje,Oba spola,Total,4667
2013,Broj,Vukosavlje,Muškarci,Total,2340
2013,Broj,Vukosavlje,Žene,Total,2327
2013,Broj,Zavidovići,Oba spola,Total,35988
2013,Broj,Zavidovići,Muškarci,Total,17883
2013,Broj,Zavidovići,Žene,Total,18105
2013,Broj,Zenica,Oba spola,Total,110663
2013,Broj,Zenica,Muškarci,Total,54660
2013,Broj,Zenica,Žene,Total,56003
2013,Broj,Zvornik,Oba spola,Total,58856
2013,Broj,Zvornik,Muškarci,Total,29270
2013,Broj,Zvornik,Žene,Total,29586
2013,Broj,Žepče,Oba spola,Total,30219
2013,Broj,Žepče,Muškarci,Total,15335
2013,Broj,Žepče,Žene,Total,14884
2013,Broj,Živinice,Oba spola,Total,57765
2013,Broj,Živinice,Muškarci,Total,28714
2013,Broj,Živinice,Žene,Total,29051
2013,Broj,Banja Luka,Oba spola,0-4,9610
2013,Broj,Banja Luka,Muškarci,0-4,4898
2013,Broj,Banja Luka,Žene,0-4,4712
2013,Broj,Banovići,Oba spola,0-4,1206
2013,Broj,Banovići,Muškarci,0-4,614
2013,Broj,Banovići,Žene,0-4,592
2013,Broj,Berkovići,Oba spola,0-4,93
2013,Broj,Berkovići,Muškarci,0-4,45
2013,Broj,Berkovići,Žene,0-4,48
2013,Broj,Bihać,Oba spola,0-4,2652
2013,Broj,Bihać,Muškarci,0-4,1361
2013,Broj,Bihać,Žene,0-4,1291
2013,Broj,Bijeljina,Oba spola,0-4,5080
2013,Broj,Bijeljina,Muškarci,0-4,2637
2013,Broj,Bijeljina,Žene,0-4,2443
2013,Broj,Bileća,Oba spola,0-4,487
2013,Broj,Bileća,Muškarci,0-4,255
2013,Broj,Bileća,Žene,0-4,232
2013,Broj,Bosanska Krupa,Oba spola,0-4,1423
2013,Broj,Bosanska Krupa,Muškarci,0-4,735
2013,Broj,Bosanska Krupa,Žene,0-4,688
2013,Broj,Bosanski Petrovac,Oba spola,0-4,249
2013,Broj,Bosanski Petrovac,Muškarci,0-4,126
2013,Broj,Bosanski Petrovac,Žene,0-4,123
2013,Broj,Bosansko Grahovo,Oba spola,0-4,69
2013,Broj,Bosansko Grahovo,Muškarci,0-4,39
2013,Broj,Bosansko Grahovo,Žene,0-4,30
2013,Broj,Bratunac,Oba spola,0-4,948
2013,Broj,Bratunac,Muškarci,0-4,509
2013,Broj,Bratunac,Žene,0-4,439
2013,Broj,Brčko,Oba spola,0-4,4165
2013,Broj,Brčko,Muškarci,0-4,2178
2013,Broj,Brčko,Žene,0-4,1987
2013,Broj,Breza,Oba spola,0-4,698
2013,Broj,Breza,Muškarci,0-4,348
2013,Broj,Breza,Žene,0-4,350
2013,Broj,Brod,Oba spola,0-4,771
2013,Broj,Brod,Muškarci,0-4,402
2013,Broj,Brod,Žene,0-4,369
2013,Broj,Bugojno,Oba spola,0-4,1484
2013,Broj,Bugojno,Muškarci,0-4,786
2013,Broj,Bugojno,Žene,0-4,698
2013,Broj,Busovača,Oba spola,0-4,961
2013,Broj,Busovača,Muškarci,0-4,494
2013,Broj,Busovača,Žene,0-4,467
2013,Broj,Bužim,Oba spola,0-4,1405
2013,Broj,Bužim,Muškarci,0-4,732
2013,Broj,Bužim,Žene,0-4,673
2013,Broj,Cazin,Oba spola,0-4,3940
2013,Broj,Cazin,Muškarci,0-4,2050
2013,Broj,Cazin,Žene,0-4,1890
2013,Broj,Sarajevo - Centar,Oba spola,0-4,2588
2013,Broj,Sarajevo - Centar,Muškarci,0-4,1308
2013,Broj,Sarajevo - Centar,Žene,0-4,1280
2013,Broj,Čajniče,Oba spola,0-4,185
2013,Broj,Čajniče,Muškarci,0-4,85
2013,Broj,Čajniče,Žene,0-4,100
2013,Broj,Čapljina,Oba spola,0-4,1233
2013,Broj,Čapljina,Muškarci,0-4,628
2013,Broj,Čapljina,Žene,0-4,605
2013,Broj,Čelić,Oba spola,0-4,475
2013,Broj,Čelić,Muškarci,0-4,229
2013,Broj,Čelić,Žene,0-4,246
